('com.baidu', 'jprotobuf', '1.2.9', 'jar', None, '(Dec 31, 2014) ', 'http://mvnrepository.com/repos/central', 'jprotobuf-1.2.9.jar')
('com.google.cloud', 'google-cloud-examples', '0.18.0-alpha', 'test-jar', None, '(May 18, 2017) ', 'http://mvnrepository.com/repos/central', 'google-cloud-examples-0.18.0-alpha-tests.jar')
('com.facebook.presto', 'presto-client', '0.138', 'jar', None, '(Feb 17, 2016) ', 'http://mvnrepository.com/repos/central', 'presto-client-0.138.jar')
('com.ning.billing', 'killbill-analytics', '0.1.21', 'jar', None, '(Jul 10, 2012) ', 'http://mvnrepository.com/repos/central', 'killbill-analytics-0.1.21.jar')
('com.indeed', 'proctor-tomcat-deps', '1.1.9', 'pom', None, '(Mar 07, 2016) ', 'http://mvnrepository.com/repos/central', 'proctor-tomcat-deps-1.1.9.pom')
('org.apache.activemq', 'activemq-optional', '5.2.0', 'jar', None, '(Nov 20, 2008) ', 'http://mvnrepository.com/repos/central', 'activemq-optional-5.2.0.jar')
('io.zipkin.java', 'zipkin-storage-cassandra', '1.31.0', 'jar', None, '(Aug 31, 2017) ', 'http://mvnrepository.com/repos/central', 'zipkin-storage-cassandra-1.31.0.jar')
('org.apache.hbase', 'hbase-procedure', '1.2.5', 'jar', None, '(Mar 01, 2017) ', 'http://mvnrepository.com/repos/central', 'hbase-procedure-1.2.5.jar')
('com.amazonaws', 'aws-java-sdk-simpledb', '1.9.27', 'jar', None, '(Mar 26, 2015) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-simpledb-1.9.27.jar')
('com.dangdang', 'sharding-jdbc-core', '1.4.1', 'jar', None, '(Dec 22, 2016) ', 'http://mvnrepository.com/repos/central', 'sharding-jdbc-core-1.4.1.jar')
('org.apache.jackrabbit', 'oak-tarmk-standby', '1.2.20', 'jar', None, '(Oct 12, 2016) ', 'http://mvnrepository.com/repos/central', 'oak-tarmk-standby-1.2.20.jar')
('org.knowm.xchange', 'xchange-taurus', '4.3.5', 'jar', None, '(Apr 03, 2018) ', 'http://mvnrepository.com/repos/central', 'xchange-taurus-4.3.5.jar')
('org.hibernate', 'hibernate-search-backend-jgroups', '5.7.2.Final', 'jar', None, '(Aug 23, 2017) ', 'http://mvnrepository.com/repos/central', 'hibernate-search-backend-jgroups-5.7.2.Final.jar')
('com.amazonaws', 'aws-java-sdk-cloudsearch', '1.11.292', 'jar', None, '(Mar 09, 2018) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-cloudsearch-1.11.292.jar')
('com.amazonaws', 'aws-java-sdk-support', '1.9.16', 'jar', None, '(Jan 20, 2015) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-support-1.9.16.jar')
('org.codehaus.groovy', 'groovy-ant', '2.4.0-rc-2', 'jar', None, '(Jan 07, 2015) ', 'http://mvnrepository.com/repos/central', 'groovy-ant-2.4.0-rc-2.jar')
('com.amazonaws', 'aws-java-sdk-sns', '1.11.101', 'jar', None, '(Mar 09, 2017) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-sns-1.11.101.jar')
('com.amazonaws', 'aws-java-sdk-sqs', '1.11.315', 'jar', None, '(Apr 21, 2018) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-sqs-1.11.315.jar')
('com.amazonaws', 'aws-java-sdk-opsworkscm', '1.11.302', 'jar', None, '(Mar 27, 2018) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-opsworkscm-1.11.302.jar')
