['com.amazonaws', 'aws-java-sdk-code-generator', '1.11.296-SNAPSHOT', 'jar', None]
['org.apache.nifi', 'nifi-snmp-processors', '0.7.5-SNAPSHOT', 'jar', None]
['org.broadleafcommerce', 'broadleaf-profile-web', '2.3.0-M2-4-SNAPSHOT', 'jar', None]
['com.streamsets', 'streamsets-datacollector-solr-protolib', '3.2.0.0', 'test-jar', None]
['io.zipkin.java', 'zipkin-autoconfigure-storage-elasticsearch', '1.16.3-SNAPSHOT', 'jar', None]
['com.amazonaws', 'aws-java-sdk-ses', '1.11.272-SNAPSHOT', 'jar', None]
['com.amazonaws', 'aws-java-sdk-mechanicalturkrequester', '1.11.176-SNAPSHOT', 'jar', None]
['org.rapidoid', 'rapidoid-quick', '5.5.0-SNAPSHOT', 'jar', None]
['com.streamsets', 'streamsets-datacollector-maprstreams-target-protolib', '1.6.0.0-SNAPSHOT', 'jar', None]
['org.apache.struts', 'struts2-jasperreports-plugin', '2.3.2', 'jar', 'jdk14']
['com.indeed', 'proctor-tomcat-deps', '1.1.5-SNAPSHOT', 'pom', None]
['org.rapidoid', 'rapidoid-test-commons', '2.4.0-SNAPSHOT', 'jar', None]
['com.streamsets', 'streamsets-datacollector-sdc-solr_6', '2.6.0.3-SNAPSHOT', 'jar', None]
['org.apache.hbase', 'hbase-hadoop-compat', '0.97-SNAPSHOT', 'jar', None]
['org.eclipse.jetty.tests', 'jmx-webapp', '9.2.13-SNAPSHOT', 'war', None]
['org.apache.nifi', 'nifi-html-processors', '0.5.1-SNAPSHOT', 'jar', None]
['com.mysema.querydsl', 'querydsl-core', '1.6.0-SNAPSHOT', 'jar', None]
['incubator-activemq', 'activemq-jaas', '4.0', 'jar', None]
['io.netty', 'netty-common', '4.1.5.Final-SNAPSHOT', 'jar', None]
['io.undertow', 'undertow-servlet', '1.0.0.Alpha9-SNAPSHOT', 'test-jar', None]
['org.broadleafcommerce', 'broadleaf-framework-web', '3.1.12-SNAPSHOT', 'jar', None]
['org.eclipse.che.plugin', 'che-plugin-web-ext-web', '5.6.0', 'jar', None]
['com.metamx.druid', 'druid-client', '0.5.14-SNAPSHOT', 'jar', None]
['com.amazonaws', 'aws-java-sdk-directconnect', '1.11.129-SNAPSHOT', 'jar', None]
