[351345, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.25-6', 'http://repo.hortonworks.com/content/repositories/releases', '(Nov 28, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.25-6']
[351368, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.1.2.3.5.4-5', 'http://repo.hortonworks.com/content/repositories/releases', '(Nov 28, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.1.2.3.5.4-5']
[351192, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.3.112-3', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 02, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.3.112-3']
[351193, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.3.111-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 02, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.3.111-2']
[351431, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.70-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 03, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.70-1']
[351432, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.69-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 03, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.69-1']
[351036, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.41-3', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 03, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.41-3']
[351120, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.5.6.5-4', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 03, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.5.6.5-4']
[351191, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.3.113-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 03, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.3.113-1']
[351339, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.29-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 07, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.29-1']
[351655, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.2.1.2.2.6.23-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 07, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.2.1.2.2.6.23-2']
