id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
1497,4517911,https://github.com/darvds/RibbonMenu,499,14,2996,225,0,NULL,NULL
2704,3416578,https://github.com/igvteam/igv,305,5805,401286,135,131,NULL,NULL
2705,23262449,https://github.com/codahale/metrics,430,43,43,43,0,NULL,NULL
2706,2340773,https://github.com/vieux/OpenUDID,207,5,121,75,0,NULL,NULL
2707,1688262,https://github.com/SpoutDev/Spout,355,5912,61058,122,0,NULL,NULL
2708,3370932,https://github.com/tgwizard/sls,366,635,3594,90,41,NULL,NULL
2709,4867294,https://github.com/hangum/TadpoleForDBTools,461,31,131000,147,0,NULL,NULL
2710,2782691,https://github.com/forcedotcom/SalesforceMobileSDK-Android,235,6179,67035,323,97,NULL,NULL
2711,1206855,https://github.com/wicketstuff/core,315,3219,60433,295,108,NULL,NULL
2713,1608936,https://github.com/hibernate/hibernate-ogm,262,3482,17039,183,46,NULL,NULL
2715,4674119,https://github.com/AndlyticsProject/andlytics,497,1522,8472,189,25,NULL,NULL
2716,1965842,https://github.com/alkacon/opencms-core,368,22592,966047,321,228,NULL,NULL
2717,1546909,https://github.com/Multiverse/Multiverse-Core,307,1069,12565,153,5,NULL,NULL
2718,2172650,https://github.com/JetBrains/la-clojure,207,590,39160,50,1,NULL,NULL
2720,4213137,https://github.com/groovy/groovy-eclipse,456,4348,776353,158,29,NULL,NULL
2721,742421,https://github.com/searls/jasmine-maven-plugin,290,635,7941,162,25,NULL,NULL
2722,10040960,https://github.com/jclouds/jclouds,356,10492,90148,475,112,NULL,NULL
2723,3628180,https://github.com/ippontech/tatami,317,3942,59683,238,22,NULL,NULL
2724,3151061,https://github.com/couchbaselabs/TouchDB-Android,238,217,9591,60,0,NULL,NULL
2725,1110748,https://github.com/alecgorge/jsonapi,226,669,36850,92,5,NULL,NULL
2726,1225993,https://github.com/jimwebber/neo4j-tutorial,297,672,383160,94,0,NULL,NULL
2727,614578,https://github.com/eleybourn/Book-Catalogue,284,1326,112475,168,78,NULL,NULL
2728,1626780,https://github.com/PEXPlugins/PermissionsEx,376,1009,4638,276,30,NULL,NULL
2729,688133,https://github.com/ruboto/ruboto-irb,390,665,54346,60,14,NULL,NULL
2730,1090553,https://github.com/sk89q/WorldGuard,383,1570,4612,346,70,NULL,NULL
2731,782257,https://github.com/jawi/ols,262,998,40548,62,14,NULL,NULL
2732,618103,https://github.com/liato/android-bankdroid,251,1325,77641,175,56,NULL,NULL
2733,121672,https://github.com/cwensel/cascading,299,2263,19058,226,659,NULL,NULL
2734,3229418,https://github.com/gwtbootstrap/gwt-bootstrap,417,983,115487,198,4,NULL,NULL
2735,2710254,https://github.com/yahoo/omid,294,1169,13655,106,10,NULL,NULL
2736,1832064,https://github.com/tdunning/MiA,327,34,698,218,1,NULL,NULL
2737,606956,https://github.com/bndtools/bnd,313,6898,303391,203,69,NULL,NULL
2738,154520,https://github.com/caelum/vraptor,390,3448,196254,226,14,NULL,NULL
2739,2682293,https://github.com/GautamGupta/Simple-Android-OCR,392,11,5200,286,0,NULL,NULL
2740,2153096,https://github.com/apache/sqoop,443,892,18107,359,30,NULL,NULL
2741,4120218,https://github.com/gast-lib/gast-lib,464,28,4328,233,1,NULL,NULL
2742,1501888,https://github.com/GlowstoneMC/Glowstone-Legacy,388,657,13257,141,4,NULL,NULL
2743,5249640,https://github.com/rsmudge/cortana-scripts,285,135,10166,214,0,NULL,NULL
2744,1621035,https://github.com/boundary/high-scale-lib,303,50,405,46,4,NULL,NULL
2745,819907,https://github.com/weld/core,285,7482,50376,232,154,NULL,NULL
2746,722432,https://github.com/DigitalPebble/behemoth,278,267,7816,61,2,NULL,NULL
2747,3019584,https://github.com/bguerout/jongo,498,963,2787,132,48,NULL,NULL
2748,4881325,https://github.com/cesarferreira/AndroidQuickUtils,257,219,4469,50,14,NULL,NULL
2749,1374129,https://github.com/BaseXdb/basex,352,11422,106887,219,63,NULL,NULL
2750,1334170,https://github.com/MassiveCraft/Factions,232,1335,82020,559,5,NULL,NULL
2751,2831597,https://github.com/nicolasgramlich/AndEngineExamples,372,374,90062,380,0,NULL,NULL
2752,1307005,https://github.com/thucydides-webtests/thucydides,270,2140,63575,107,138,NULL,NULL
